canonical_sku,attribute_key,value,source_sku,confidence
ASI-PHEN-1T,"material","phenolic",ASI-PHEN-1T,0.740
ASI-PHEN-2T,"material","phenolic",ASI-PHEN-2T,0.740
ASI-PHEN-OH,"finish",black,ASI-PHEN-OH,0.790
ASI-PHEN-OH,"material","phenolic",ASI-PHEN-OH,0.790
ASI-PHEN-OH,"mounting","overhead_braced",ASI-PHEN-OH,0.790
ASI-PHEN-SLOPE-TOP,"material","phenolic",ASI-PHEN-SLOPE-TOP,0.740
ASI-PHEN-Z,"material","phenolic",ASI-PHEN-Z,0.740
ASI-PLAM-OH,"mounting","overhead_braced",ASI-PLAM-OH,0.740
ASI-PULL-MB,"finish",matte_black,ASI-PULL-MB,0.740
ASI-SC,"finish",white,ASI-SC,0.740
ASI-SCR-36,"finish","stainless",ASI-SCR-36,0.820
ASI-SCR-36,"material","stainless",ASI-SCR-36,0.820
ASI-SCR-36,size,"36in",ASI-SCR-36,0.820
ASI-SHOE-MB,"finish",matte_black,ASI-SHOE-MB,0.740
ASI-SHOE-SS,"finish","stainless",ASI-SHOE-SS,0.790
ASI-SHOE-SS,"material","stainless",ASI-SHOE-SS,0.790
ASI-SNAP-36-MB,"finish",matte_black,ASI-SNAP-36-MB,0.820
ASI-SNAP-36-MB,size,"36in",ASI-SNAP-36-MB,0.820
ASI-SS-OH,"finish","stainless",ASI-SS-OH,0.790
ASI-SS-OH,"material","stainless",ASI-SS-OH,0.790
ASI-SS-OH,"mounting","overhead_braced",ASI-SS-OH,0.790
ASI-UP-PHEN,"material","phenolic",ASI-UP-PHEN,0.740
ASI-US-SS,"finish","stainless",ASI-US-SS,0.790
ASI-US-SS,"material","stainless",ASI-US-SS,0.790
BA-AHD-2424,size,"24in",BA-AHD-2424,0.770
BABCOCK-BMD38,"mounting","recessed",BABCOCK-BMD38,0.740
BABCOCK-BMT38,size,"8in",BABCOCK-BMT38,0.770
BASE-MB300-SF,"finish",matte_black,BASE-MB300-SF,0.740
BASE-MB400-SF,"finish",matte_black,BASE-MB400-SF,0.740
BD-ADAP-1212,size,"12in",BD-ADAP-1212,0.770
BD-ADAP-2424,size,"24in",BD-ADAP-2424,0.770
BD-BGR34-SF,size,"4in",BD-BGR34-SF,0.770
BD-BMD38-SF,size,"8in",BD-BMD38-SF,0.770
BD-BMG12-SF,size,"2in",BD-BMG12-SF,0.770
BD-BMQ38-SF,size,"8in",BD-BMQ38-SF,0.770
BD-BMT38-SF,size,"8in",BD-BMT38-SF,0.770
BD-BMX12-SF,size,"2in",BD-BMX12-SF,0.770
BD-BNT-2448,size,"24in",BD-BNT-2448,0.770
BD-EXT-2424,size,"24in",BD-EXT-2424,0.770
BD-FRAME-34-LF,"mounting","recessed",BD-FRAME-34-LF,0.820
BD-FRAME-34-LF,size,"4in",BD-FRAME-34-LF,0.820
BD-FRAME-38-LF,"mounting","recessed",BD-FRAME-38-LF,0.820
BD-FRAME-38-LF,size,"8in",BD-FRAME-38-LF,0.820
BD-RAMP-EDGE-LF,"mounting","surface",BD-RAMP-EDGE-LF,0.740
BOB-1080-OH,"material","phenolic",BOB-1080-OH,0.820
BOB-1180-FA,"material","phenolic",BOB-1180-FA,0.740
BOB-2080-CH,"material","phenolic",BOB-2080-CH,0.740
BOB-2180-FTC,"material","phenolic",BOB-2180-FTC,0.740
BOB-B-211,"finish","stainless",BOB-B-211,0.790
BOB-B-211,"material","stainless",BOB-B-211,0.790
BOB-B-211,"mounting","surface",BOB-B-211,0.790
BOB-B-212,"finish","stainless",BOB-B-212,0.790
BOB-B-212,"material","stainless",BOB-B-212,0.790
BOB-B-212,"mounting","surface",BOB-B-212,0.790
BOB-B-2250,"finish","stainless",BOB-B-2250,0.790
BOB-B-2250,"material","stainless",BOB-B-2250,0.790
BOB-B-2300,"finish","stainless",BOB-B-2300,0.790
BOB-B-2300,"material","stainless",BOB-B-2300,0.790
BOB-B-2400,"finish","stainless",BOB-B-2400,0.790
BOB-B-2400,"material","stainless",BOB-B-2400,0.790
BOB-B-262,"finish","stainless",BOB-B-262,0.790
BOB-B-262,"material","stainless",BOB-B-262,0.790
BOB-B-262,"mounting","recessed",BOB-B-262,0.790
BOB-B-270,"finish","stainless",BOB-B-270,0.790
BOB-B-270,"material","stainless",BOB-B-270,0.790
BOB-B-270,"mounting","surface",BOB-B-270,0.790
BOB-B-2706,"mounting","surface",BOB-B-2706,0.740
BOB-B-290-1836,"finish","stainless",BOB-B-290-1836,0.820
BOB-B-290-1836,"material","stainless",BOB-B-290-1836,0.820
BOB-B-290-1836,size,"18in",BOB-B-290-1836,0.820
BOB-B-290-2436,"finish","stainless",BOB-B-290-2436,0.820
BOB-B-290-2436,"material","stainless",BOB-B-290-2436,0.820
BOB-B-290-2436,size,"24in",BOB-B-290-2436,0.820
BOB-B-290-2436-MBLK,"finish","stainless",BOB-B-290-2436-MBLK,0.820
BOB-B-290-2436-MBLK,"material","stainless",BOB-B-290-2436-MBLK,0.820
BOB-B-290-2436-MBLK,size,"24in",BOB-B-290-2436-MBLK,0.820
BOB-B-290-2448,"finish","stainless",BOB-B-290-2448,0.820
BOB-B-290-2448,"material","stainless",BOB-B-290-2448,0.820
BOB-B-290-2448,size,"24in",BOB-B-290-2448,0.820
BOB-B-290-2460,"finish","stainless",BOB-B-290-2460,0.820
BOB-B-290-2460,"material","stainless",BOB-B-290-2460,0.820
BOB-B-290-2460,size,"24in",BOB-B-290-2460,0.820
BOB-B-290-2472,"finish","stainless",BOB-B-290-2472,0.820
BOB-B-290-2472,"material","stainless",BOB-B-290-2472,0.820
BOB-B-290-2472,size,"24in",BOB-B-290-2472,0.820
BOB-B-293-1830,"compliance",ADA,BOB-B-293-1830,0.820
BOB-B-293-1830,"finish","stainless",BOB-B-293-1830,0.820
BOB-B-293-1830,"material","stainless",BOB-B-293-1830,0.820
BOB-B-293-1830,size,"18in",BOB-B-293-1830,0.820
BOB-B-293-1836,"compliance",ADA,BOB-B-293-1836,0.820
BOB-B-293-1836,"finish","stainless",BOB-B-293-1836,0.820
BOB-B-293-1836,"material","stainless",BOB-B-293-1836,0.820
BOB-B-293-1836,size,"18in",BOB-B-293-1836,0.820
BOB-B-293-2436,"compliance",ADA,BOB-B-293-2436,0.820
BOB-B-293-2436,"finish","stainless",BOB-B-293-2436,0.820
BOB-B-293-2436,"material","stainless",BOB-B-293-2436,0.820
BOB-B-293-2436,size,"24in",BOB-B-293-2436,0.820
BOB-B-295X24,"finish","stainless",BOB-B-295X24,0.820
BOB-B-295X24,"material","stainless",BOB-B-295X24,0.820
BOB-B-295X24,"mounting","surface",BOB-B-295X24,0.820
BOB-B-295X24,size,"24in",BOB-B-295X24,0.820
BOB-B-295X36,"finish","stainless",BOB-B-295X36,0.820
BOB-B-295X36,"material","stainless",BOB-B-295X36,0.820
BOB-B-295X36,"mounting","surface",BOB-B-295X36,0.820
BOB-B-295X36,size,"36in",BOB-B-295X36,0.820
BOB-B-301,"finish","stainless",BOB-B-301,0.790
BOB-B-301,"material","stainless",BOB-B-301,0.790
BOB-B-301,"mounting","recessed",BOB-B-301,0.790
BOB-B-309,"mounting","recessed",BOB-B-309,0.740
BOB-B-347,"finish","stainless",BOB-B-347,0.790
BOB-B-347,"material","stainless",BOB-B-347,0.790
BOB-B-347,"mounting","recessed",BOB-B-347,0.790
BOB-B-353,"finish","stainless",BOB-B-353,0.790
BOB-B-353,"material","stainless",BOB-B-353,0.790
BOB-B-353,"mounting","recessed",BOB-B-353,0.790
BOB-B-354,"finish","stainless",BOB-B-354,0.790
BOB-B-354,"material","stainless",BOB-B-354,0.790
BOB-B-354,"mounting","recessed",BOB-B-354,0.790
BOB-B-35633,"finish","stainless",BOB-B-35633,0.790
BOB-B-35633,"material","stainless",BOB-B-35633,0.790
BOB-B-35633,"mounting","recessed",BOB-B-35633,0.790
BOB-B-359,"finish","stainless",BOB-B-359,0.790
BOB-B-359,"material","stainless",BOB-B-359,0.790
BOB-B-359,"mounting","recessed",BOB-B-359,0.790
BOB-B-369,"finish","stainless",BOB-B-369,0.790
BOB-B-369,"material","stainless",BOB-B-369,0.790
BOB-B-369,"mounting","recessed",BOB-B-369,0.790
BOB-B-38032,"finish","stainless",BOB-B-38032,0.790
BOB-B-38032,"material","stainless",BOB-B-38032,0.790
BOB-B-38032,"mounting","recessed",BOB-B-38032,0.790
BOB-B-3942,"finish","stainless",BOB-B-3942,0.790
BOB-B-3942,"material","stainless",BOB-B-3942,0.790
BOB-B-3942,"mounting","recessed",BOB-B-3942,0.790
BOB-B-3944,"finish","stainless",BOB-B-3944,0.790
BOB-B-3944,"material","stainless",BOB-B-3944,0.790
BOB-B-3944,"mounting","recessed",BOB-B-3944,0.790
BOB-B-3961,"finish","stainless",BOB-B-3961,0.790
BOB-B-3961,"material","stainless",BOB-B-3961,0.790
BOB-B-3961,"mounting","recessed",BOB-B-3961,0.790
BOB-B-4288,"finish","stainless",BOB-B-4288,0.790
BOB-B-4288,"material","stainless",BOB-B-4288,0.790
BOB-B-4288,"mounting","surface",BOB-B-4288,0.790
BOB-B-4353,"finish","stainless",BOB-B-4353,0.790
BOB-B-4353,"material","stainless",BOB-B-4353,0.790
BOB-B-4353,"mounting","recessed",BOB-B-4353,0.790
BOB-B-4369,"finish","stainless",BOB-B-4369,0.790
BOB-B-4369,"material","stainless",BOB-B-4369,0.790
BOB-B-4369,"mounting","recessed",BOB-B-4369,0.790
BOB-B-4388,"finish","stainless",BOB-B-4388,0.790
BOB-B-4388,"material","stainless",BOB-B-4388,0.790
BOB-B-4388,"mounting","recessed",BOB-B-4388,0.790
BOB-B-47064,"mounting","recessed",BOB-B-47064,0.740
BOB-B-544,"finish","stainless",BOB-B-544,0.790
BOB-B-544,"material","stainless",BOB-B-544,0.790
BOB-B-544,"mounting","surface",BOB-B-544,0.790
BOB-B-5446,"finish","stainless",BOB-B-5446,0.790
BOB-B-5446,"material","stainless",BOB-B-5446,0.790
BOB-B-5446,"mounting","surface",BOB-B-5446,0.790
BOB-B-58616,"finish","stainless",BOB-B-58616,0.820
BOB-B-58616,"material","stainless",BOB-B-58616,0.820
BOB-B-58616,size,"24in",BOB-B-58616,0.820
BOB-B-6806X18-SHOWER,"finish","stainless",BOB-B-6806X18-SHOWER,0.820
BOB-B-6806X18-SHOWER,"material","stainless",BOB-B-6806X18-SHOWER,0.820
BOB-B-6806X18-SHOWER,size,"18in",BOB-B-6806X18-SHOWER,0.820
BOB-B-6806X24-SHOWER,"finish","stainless",BOB-B-6806X24-SHOWER,0.820
BOB-B-6806X24-SHOWER,"material","stainless",BOB-B-6806X24-SHOWER,0.820
BOB-B-6806X24-SHOWER,size,"24in",BOB-B-6806X24-SHOWER,0.820
BOB-B-6806X36-SHOWER,"finish","stainless",BOB-B-6806X36-SHOWER,0.820
BOB-B-6806X36-SHOWER,"material","stainless",BOB-B-6806X36-SHOWER,0.820
BOB-B-6806X36-SHOWER,size,"36in",BOB-B-6806X36-SHOWER,0.820
BOB-B-6827X18,"finish","stainless",BOB-B-6827X18,0.820
BOB-B-6827X18,"material","stainless",BOB-B-6827X18,0.820
BOB-B-6827X18,"mounting","surface",BOB-B-6827X18,0.820
BOB-B-6827X18,size,"18in",BOB-B-6827X18,0.820
BOB-B-6827X24,"finish","stainless",BOB-B-6827X24,0.820
BOB-B-6827X24,"material","stainless",BOB-B-6827X24,0.820
BOB-B-6827X24,"mounting","surface",BOB-B-6827X24,0.820
BOB-B-6827X24,size,"24in",BOB-B-6827X24,0.820
BOB-B-8397,"finish","stainless",BOB-B-8397,0.790
BOB-B-8397,"material","stainless",BOB-B-8397,0.790
BOB-B-8397,"mounting","surface",BOB-B-8397,0.790
BOB-B224,"mounting","surface",BOB-B224,0.740
BOB-B239,"finish","stainless",BOB-B239,0.790
BOB-B239,"material","stainless",BOB-B239,0.790
BOB-B4998,"compliance",ADA,BOB-B4998,0.790
BOB-B4998,"finish","stainless",BOB-B4998,0.790
BOB-B4998,"material","stainless",BOB-B4998,0.790
BOB-B6806X36,"finish","stainless",BOB-B6806X36,0.820
BOB-B6806X36,"material","stainless",BOB-B6806X36,0.820
BOB-B6806X36,size,"36in",BOB-B6806X36,0.820
BOB-B6806X42,"finish","stainless",BOB-B6806X42,0.820
BOB-B6806X42,"material","stainless",BOB-B6806X42,0.820
BOB-B6806X42,size,"42in",BOB-B6806X42,0.820
BOB-HDW-STD-SS,"finish","stainless",BOB-HDW-STD-SS,0.790
BOB-HDW-STD-SS,"material","stainless",BOB-HDW-STD-SS,0.790
BOB-HINGE-BARREL-SS,"finish","stainless",BOB-HINGE-BARREL-SS,0.790
BOB-HINGE-BARREL-SS,"material","stainless",BOB-HINGE-BARREL-SS,0.790
BOB-LATCH-KEEPER-SS,"finish","stainless",BOB-LATCH-KEEPER-SS,0.790
BOB-LATCH-KEEPER-SS,"material","stainless",BOB-LATCH-KEEPER-SS,0.790
BOB-US-PHEN,"material","phenolic",BOB-US-PHEN,0.740
BR-155,"mounting","recessed",BR-155,0.820
BR-234,"finish","stainless",BR-234,0.790
