id,sku,category,manufacturer,uom,base_material_cost,base_labor_minutes,active,install_labor_family,violation_flags
br-2a02,BR-2A02,Toilet Accessories,Bradley,EA,1038,60,1,,missing_install_labor_family;
asi-0690-24,ASI-0690-24,Toilet Accessories,American Specialties Inc.,EA,55,20,1,,missing_install_labor_family;
bob-us-phen,BOB-US-PHEN,Partitions,Bobrick,EA,475,60,1,,missing_install_labor_family;
br-2a25-36,BR-2A25-36,Toilet Accessories,Bradley,EA,1573,75,1,,missing_install_labor_family;
br-2b1-110000,BR-2B1-110000,Toilet Accessories,Bradley,EA,400,45,1,,missing_install_labor_family;
br-2b1-113400,BR-2B1-113400,Toilet Accessories,Bradley,EA,378,45,1,,missing_install_labor_family;
br-2b1-113600,BR-2B1-113600,Toilet Accessories,Bradley,EA,461,45,1,,missing_install_labor_family;
br-377-36,BR-377-36,Waste & Recycling Receptacles,Bradley,EA,650,15,1,,missing_install_labor_family;
br-377-44,BR-377-44,Waste & Recycling Receptacles,Bradley,EA,750,15,1,,missing_install_labor_family;
br-4b2-000000,BR-4B2-000000,Toilet Accessories,Bradley,EA,506,45,1,,missing_install_labor_family;
br-5a00,BR-5A00,Toilet Accessories,Bradley,EA,284,45,1,,missing_install_labor_family;
br-5b1-003600,BR-5B1-003600,Toilet Accessories,Bradley,EA,322,40,1,,missing_install_labor_family;
br-5b2-000000,BR-5B2-000000,Toilet Accessories,Bradley,EA,309,45,1,,missing_install_labor_family;
br-5b2-110000,BR-5B2-110000,Toilet Accessories,Bradley,EA,219,30,1,,missing_install_labor_family;
br-5b2-110089,BR-5B2-110089,Toilet Accessories,Bradley,EA,274,30,1,,missing_install_labor_family;
br-760-1830,BR-760-1830,Toilet Accessories,Bradley,EA,225,35,1,,missing_install_labor_family;
br-781-6024,BR-781-6024,Toilet Accessories,Bradley,EA,165,45,1,,missing_install_labor_family;
br-781-6036,BR-781-6036,Toilet Accessories,Bradley,EA,225,45,1,,missing_install_labor_family;
br-7b1-0018300,BR-7B1-0018300,Toilet Accessories,Bradley,EA,244,35,1,,missing_install_labor_family;
br-7b1-0024360,BR-7B1-0024360,Toilet Accessories,Bradley,EA,273,35,1,,missing_install_labor_family;
br-7b1-1024360,BR-7B1-1024360,Toilet Accessories,Bradley,EA,270,35,1,,missing_install_labor_family;
br-7b1-3024360,BR-7B1-3024360,Toilet Accessories,Bradley,EA,470,40,1,,missing_install_labor_family;
br-7b1-5024360,BR-7B1-5024360,Toilet Accessories,Bradley,EA,1085,45,1,,missing_install_labor_family;
br-7b1-7024360,BR-7B1-7024360,Toilet Accessories,Bradley,EA,1460,50,1,,missing_install_labor_family;
br-9933,BR-9933,Custodial Accessories,Bradley,EA,335,50,1,,missing_install_labor_family;
br-9934,BR-9934,Custodial Accessories,Bradley,EA,390,55,1,,missing_install_labor_family;
br-9953,BR-9953,Custodial Accessories,Bradley,EA,125,25,1,,missing_install_labor_family;
br-9954,BR-9954,Custodial Accessories,Bradley,EA,155,30,1,,missing_install_labor_family;
br-9955,BR-9955,Custodial Accessories,Bradley,EA,185,35,1,,missing_install_labor_family;
br-9983,BR-9983,Custodial Accessories,Bradley,EA,425,60,1,,missing_install_labor_family;
claridge-calyx-glass-46,CLARIDGE-CALYX-GLASS-46,Visual Display,Claridge,EA,650,75,1,,missing_install_labor_family;
claridge-glass-48,CLARIDGE-GLASS-48,Visual Display,Claridge,EA,1250,90,1,,missing_install_labor_family;
br-7b2-0051200,BR-7B2-0051200,Toilet Accessories,Bradley,EA,201,25,1,,missing_install_labor_family;
claridge-lcs-elite-46,CLARIDGE-LCS-ELITE-46,Visual Display,Claridge,EA,725,60,1,,missing_install_labor_family;
claridge-lcs-elite-48,CLARIDGE-LCS-ELITE-48,Visual Display,Claridge,EA,925,75,1,,missing_install_labor_family;
claridge-mgmi-46,CLARIDGE-MGMI-46,Visual Display,Claridge,EA,950,75,1,,missing_install_labor_family;
crown-walk-n-clean-sf,CROWN-WALK-N-CLEAN-SF,Entrance Mats,Crown Matting,SF,15,3,1,,missing_install_labor_family;
cs-acro-cg,CS-ACRO-CG,Wall Protection,Construction Specialties,EA,72,30,1,,missing_install_labor_family;
cs-acro-chairrail,CS-ACRO-CHAIRRAIL,Wall Protection,Construction Specialties,LF,22,8,1,,missing_install_labor_family;
cs-acro-cr,CS-ACRO-CR,Wall Protection,Construction Specialties,LF,42,12,1,,missing_install_labor_family;
cs-acro-hr,CS-ACRO-HR,Wall Protection,Construction Specialties,LF,62,16,1,,missing_install_labor_family;
cs-acro-sheet-040,CS-ACRO-SHEET-040,Wall Protection,Construction Specialties,SF,8.5,4,1,,missing_install_labor_family;
cs-acro-sheet-060,CS-ACRO-SHEET-060,Wall Protection,Construction Specialties,SF,11.75,5,1,,missing_install_labor_family;
cs-co8-4,CS-CO8-4,Wall Protection,Construction Specialties,EA,95,35,1,,missing_install_labor_family;
